                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86334,                0.76484,                  1.156,                0.86977,                0.82792,                 0.9034,                0.66877,                0.97474,                0.62731,                 1.1876,             0.00065091,             0.00065091,             0.00065091
                     36,                0.85451,                0.74114,                 1.1436,                0.87085,                0.82494,                0.90183,                0.67113,                0.96128,                0.61836,                  1.181,             0.00062733,             0.00062733,             0.00062733
                     37,                0.84657,                0.74011,                 1.1405,                0.88594,                0.83579,                0.91147,                 0.6834,                0.94535,                0.60876,                 1.1662,             0.00060375,             0.00060375,             0.00060375
                     38,                0.84256,                0.72317,                  1.137,                0.87954,                0.84223,                0.90974,                0.68392,                0.94337,                0.59791,                  1.166,             0.00058017,             0.00058017,             0.00058017
                     39,                0.83638,                0.71702,                  1.134,                0.89219,                0.84079,                0.91327,                 0.6868,                0.94038,                   0.59,                  1.164,              0.0005566,              0.0005566,              0.0005566
                     40,                0.82773,                0.70648,                 1.1273,                0.88397,                0.84052,                0.90793,                0.68476,                0.93882,                0.58669,                 1.1588,             0.00053302,             0.00053302,             0.00053302
                     41,                0.81625,                0.69994,                 1.1225,                0.89287,                0.84152,                0.91148,                0.69029,                0.93275,                0.58517,                 1.1512,             0.00050944,             0.00050944,             0.00050944
                     42,                0.80286,                0.68524,                 1.1164,                0.88227,                0.84213,                0.91418,                0.69561,                0.92678,                0.58287,                 1.1513,             0.00048586,             0.00048586,             0.00048586
                     43,                0.80551,                0.67344,                 1.1154,                0.89478,                0.85201,                0.91844,                0.69774,                0.92627,                0.56908,                 1.1504,             0.00046228,             0.00046228,             0.00046228
                     44,                0.80988,                0.67265,                 1.1192,                0.88857,                0.85261,                 0.9234,                 0.7027,                0.91399,                0.56291,                 1.1431,              0.0004387,              0.0004387,              0.0004387
                     45,                0.79664,                0.66464,                 1.1112,                0.89073,                0.85002,                0.92088,                0.70238,                0.92064,                0.55786,                 1.1491,             0.00041512,             0.00041512,             0.00041512
                     46,                0.78039,                0.64066,                 1.0996,                0.89011,                0.85983,                0.92271,                0.70681,                0.91082,                0.55146,                 1.1408,             0.00039155,             0.00039155,             0.00039155
                     47,                0.77969,                0.63809,                 1.1012,                0.89276,                0.85311,                0.92048,                0.70704,                  0.916,                0.54997,                 1.1472,             0.00036797,             0.00036797,             0.00036797
                     48,                0.76421,                0.63042,                 1.0909,                 0.8983,                0.85076,                0.92489,                0.71091,                0.90238,                0.54336,                 1.1384,             0.00034439,             0.00034439,             0.00034439
                     49,                0.76846,                0.62867,                 1.0945,                0.90302,                0.85869,                0.92281,                0.71125,                0.89651,                0.53836,                 1.1348,             0.00032081,             0.00032081,             0.00032081
