                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0971,                 4.6745,                 3.9503,                0.50332,                0.02505,                0.00229,                0.00063,                  2.741,                 6.2572,                 3.4623,             0.00023746,             0.00023746,             0.00023746
                      2,                 2.4161,                 4.1187,                 2.9845,                0.52229,                0.01489,                0.01038,                0.00341,                 2.2715,                 4.2262,                 2.9419,             0.00046761,             0.00046761,             0.00046761
                      3,                 2.0309,                 3.5882,                 2.5036,                0.35576,                0.06999,                0.03042,                0.01168,                 2.0133,                 3.7877,                  2.607,             0.00068991,             0.00068991,             0.00068991
                      4,                 1.8792,                 3.3235,                 2.3456,                0.39788,                0.07424,                0.05532,                0.02314,                 1.9372,                 3.2777,                 2.5258,             0.00067866,             0.00067866,             0.00067866
                      5,                 1.8071,                 3.1649,                 2.2438,                0.39457,                0.10672,                 0.0712,                0.03161,                 1.8605,                 3.1356,                 2.4002,             0.00067866,             0.00067866,             0.00067866
                      6,                 1.7553,                 3.0301,                 2.1892,                0.36595,                 0.1674,                0.07974,                0.03593,                 1.7869,                  3.582,                 2.2806,             0.00066688,             0.00066688,             0.00066688
                      7,                 1.7086,                 2.9282,                  2.138,                 0.5204,                0.16187,                0.10466,                0.05078,                 1.7803,                 2.9433,                 2.3194,             0.00065509,             0.00065509,             0.00065509
                      8,                 1.6715,                 2.8212,                 2.0883,                0.53531,                0.16569,                0.13986,                0.06954,                 1.7124,                 2.5977,                 2.2012,             0.00064331,             0.00064331,             0.00064331
                      9,                 1.6558,                  2.775,                  2.069,                0.44698,                0.18199,                0.15202,                0.07593,                 1.6864,                 2.6976,                 2.1603,             0.00063153,             0.00063153,             0.00063153
                     10,                 1.6179,                 2.6883,                 2.0324,                0.35386,                0.19629,                0.15665,                0.07976,                 1.6955,                 2.4469,                 2.1751,             0.00061975,             0.00061975,             0.00061975
                     11,                 1.5974,                 2.6462,                 2.0107,                0.40259,                0.23014,                0.18681,                0.09873,                 1.6221,                 2.3434,                 2.1012,             0.00060797,             0.00060797,             0.00060797
                     12,                 1.5691,                 2.5611,                 1.9827,                 0.5166,                0.26038,                0.20374,                0.10956,                 1.5975,                  2.266,                  2.063,             0.00059619,             0.00059619,             0.00059619
