                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1524,                 4.3513,                 4.0425,                0.60307,                0.04134,                0.00583,                0.00142,                 2.8043,                 4.6642,                   3.72,             0.00036859,             0.00036859,             0.00036859
                      2,                 2.6773,                  3.987,                 3.2786,                0.81031,                0.01546,                0.00718,                0.00217,                 2.4207,                 4.8141,                 3.1729,             0.00070234,             0.00070234,             0.00070234
                      3,                 2.2455,                 3.5695,                 2.7872,                0.44549,                0.05531,                0.02701,                0.00888,                 2.1304,                 3.9898,                 2.8225,             0.00099944,             0.00099944,             0.00099944
                      4,                 2.0063,                 3.2613,                 2.5458,                0.64645,                0.08709,                0.03525,                0.01363,                 2.0759,                 3.7548,                 2.8653,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.8706,                  3.048,                  2.395,                0.29949,                0.09073,                  0.069,                0.02865,                   1.94,                 3.1927,                 2.6224,             0.00094602,             0.00094602,             0.00094602
                      6,                 1.7859,                 2.9414,                 2.3099,                0.29622,                0.15275,                0.07983,                0.03412,                 1.8106,                 3.3773,                 2.4712,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.7204,                 2.8243,                 2.2502,                0.34082,                0.14678,                0.11095,                0.05011,                 1.7639,                 2.7937,                 2.3965,             0.00083603,             0.00083603,             0.00083603
                      8,                 1.6937,                 2.7704,                 2.2198,                0.30824,                0.19184,                0.11841,                0.05511,                 1.7312,                 2.8776,                 2.3643,             0.00078103,             0.00078103,             0.00078103
                      9,                  1.647,                 2.6759,                 2.1606,                0.11771,                0.22099,                0.13784,                0.06689,                 1.6951,                 2.6188,                 2.3343,             0.00072604,             0.00072604,             0.00072604
                     10,                 1.6069,                 2.6393,                 2.1351,                0.14705,                 0.2116,                0.15452,                0.07732,                 1.6704,                 2.5065,                 2.3121,             0.00067104,             0.00067104,             0.00067104
                     11,                 1.5821,                 2.4802,                 2.1986,                 0.1788,                0.26563,                0.17927,                0.09505,                 1.5907,                 2.3861,                 2.1913,             0.00061605,             0.00061605,             0.00061605
                     12,                 1.5408,                 2.3902,                 2.1467,                0.17637,                0.28535,                 0.1909,                 0.1051,                 1.5249,                 2.3531,                 2.1264,             0.00056105,             0.00056105,             0.00056105
                     13,                 1.4991,                 2.2905,                 2.0962,                0.18886,                0.29729,                0.19467,                0.10932,                  1.541,                 2.2671,                  2.124,             0.00050606,             0.00050606,             0.00050606
                     14,                  1.481,                 2.2258,                 2.0733,                0.20765,                0.30049,                0.21478,                0.12282,                 1.4809,                 2.2382,                 2.0625,             0.00045107,             0.00045107,             0.00045107
                     15,                 1.4501,                 2.1692,                 2.0406,                 0.2086,                0.32751,                0.23413,                0.13959,                  1.423,                 2.1092,                 1.9832,             0.00039607,             0.00039607,             0.00039607
                     16,                 1.4218,                 2.1343,                 2.0155,                0.21856,                 0.3328,                0.24144,                0.14448,                 1.4073,                 2.0823,                 1.9971,             0.00034108,             0.00034108,             0.00034108
                     17,                 1.3835,                 2.0804,                 1.9821,                0.25857,                0.33046,                0.26454,                 0.1624,                  1.394,                 1.9833,                 1.9626,             0.00028608,             0.00028608,             0.00028608
                     18,                 1.3631,                 2.0299,                 1.9595,                0.25264,                0.35482,                0.27645,                0.17339,                 1.3386,                 1.9409,                 1.9135,             0.00023109,             0.00023109,             0.00023109
                     19,                  1.338,                 1.9804,                  1.924,                0.26675,                0.35563,                0.28431,                0.17807,                 1.3376,                 1.9234,                 1.9137,             0.00017609,             0.00017609,             0.00017609
                     20,                 1.3114,                 1.9538,                 1.9056,                0.26995,                0.37206,                0.28586,                0.18382,                 1.3096,                 1.8675,                 1.8878,              0.0001211,              0.0001211,              0.0001211
