                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1071,                 1.8619,                 1.4626,                0.55085,                0.37255,                0.39329,                 0.1787,                 1.7016,                 3.9231,                 2.3902,             0.00065778,             0.00065778,             0.00065778
                      2,                 1.4687,                 1.8428,                 1.7635,                0.27627,                0.29192,                0.22402,                0.07457,                 2.2722,                 5.8675,                 2.8175,              0.0012982,              0.0012982,              0.0012982
                      3,                 1.6325,                 2.0632,                 1.8877,                0.21057,                0.33824,                0.16707,                0.05556,                 2.3092,                 3.2693,                 3.0467,              0.0019123,              0.0019123,              0.0019123
                      4,                 1.7472,                 2.1477,                 1.9901,                0.12282,                0.38725,                0.11618,                0.03964,                 1.9923,                 4.2302,                 2.4874,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.683,                 2.1826,                 1.9549,                0.29773,                0.33333,                0.21932,                0.08687,                 2.0092,                 3.2249,                 2.4671,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.6098,                 2.0317,                  1.899,                0.34082,                0.44118,                0.31132,                 0.1212,                 1.8268,                 2.5821,                 2.2618,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.6017,                 1.9543,                  1.879,                0.45458,                 0.4902,                0.38741,                 0.1756,                 1.8609,                 2.1321,                 2.2831,               0.001802,               0.001802,               0.001802
                      8,                 1.5962,                 1.9388,                  1.875,                0.49159,                0.47549,                0.37957,                0.18481,                 1.7325,                 2.1209,                 2.2441,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.5297,                 1.8844,                 1.8163,                0.33877,                 0.5049,                 0.3415,                0.15768,                 1.6966,                 2.3414,                 2.1569,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4961,                 1.8586,                 1.7709,                0.63866,                0.55392,                0.56105,                0.30394,                 1.5671,                 1.7783,                 1.9982,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.4591,                 1.8079,                 1.7428,                0.51436,                0.52941,                 0.4532,                0.22306,                 1.6374,                 1.9741,                 2.0483,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.4279,                 1.7651,                 1.7173,                0.49694,                 0.4902,                 0.4566,                0.22414,                 1.6978,                 1.8551,                 2.0926,               0.001604,               0.001604,               0.001604
                     13,                 1.4246,                 1.7736,                 1.7242,                0.62339,                0.51961,                0.56202,                0.30156,                 1.5042,                 1.6721,                 1.9167,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.3794,                 1.7345,                 1.6911,                0.60738,                0.59314,                 0.5567,                0.30475,                 1.4895,                 1.7208,                 1.8727,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.4099,                 1.7041,                 1.7277,                0.60402,                0.55882,                0.56955,                0.29873,                 1.5466,                 1.7316,                 1.9174,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3601,                 1.6882,                 1.6683,                0.63977,                0.53431,                0.58892,                0.31133,                 1.5082,                 1.6056,                 1.8805,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2884,                  1.624,                 1.5977,                0.63919,                0.53842,                 0.5743,                0.30734,                 1.4564,                 1.6408,                 1.8492,               0.001406,               0.001406,               0.001406
                     18,                 1.3201,                 1.6229,                 1.6393,                0.67864,                0.59314,                0.64043,                 0.3287,                 1.5485,                 1.6177,                 1.9337,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2272,                 1.5407,                 1.5845,                0.75654,                0.52941,                0.63194,                0.33884,                 1.5115,                 1.4934,                 1.9233,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2569,                 1.5316,                 1.6107,                0.57826,                0.55114,                0.56617,                0.28139,                 1.6015,                 1.7351,                 2.0044,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.2336,                 1.5164,                 1.5833,                0.74221,                0.52941,                0.59409,                 0.3212,                 1.5149,                 1.6453,                 1.9515,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.2383,                  1.534,                 1.6006,                0.68153,                0.61765,                0.65659,                0.36936,                  1.465,                 1.5288,                 1.8235,               0.001208,               0.001208,               0.001208
                     23,                 1.2067,                 1.4202,                 1.5683,                0.76088,                0.62393,                0.69169,                0.36793,                 1.4629,                 1.4525,                 1.8889,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.1705,                 1.4019,                 1.5273,                0.81481,                0.58333,                0.70237,                0.39461,                 1.3897,                 1.4511,                 1.8051,              0.0011288,              0.0011288,              0.0011288
                     25,                  1.154,                    1.4,                 1.5386,                0.78107,                0.54412,                0.68896,                0.38893,                 1.3544,                 1.4183,                 1.7577,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1813,                 1.4225,                 1.5608,                0.68827,                0.56863,                 0.6115,                0.35569,                 1.3886,                 1.4321,                 1.8082,              0.0010496,              0.0010496,              0.0010496
                     27,                  1.162,                 1.4003,                 1.5488,                0.72927,                0.59804,                0.67213,                0.39295,                 1.3966,                 1.3781,                 1.7756,                0.00101,                0.00101,                0.00101
                     28,                 1.1308,                 1.3923,                 1.5234,                0.72868,                0.62255,                 0.7107,                0.39483,                  1.369,                 1.4213,                 1.7721,              0.0009704,              0.0009704,              0.0009704
