                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.125,                 4.4054,                 3.9575,                0.00312,                0.52276,                0.00562,                0.00162,                  2.815,                 4.2269,                 3.7292,             0.00033234,             0.00033234,             0.00033234
                      2,                 2.4252,                 4.0233,                 3.0128,                0.54779,                0.06345,                0.02454,                 0.0089,                 2.2399,                 4.3026,                 2.9425,             0.00063931,             0.00063931,             0.00063931
                      3,                 2.0226,                 3.5639,                 2.5617,                0.23208,                0.12107,                0.04665,                0.01753,                 2.1331,                 3.6173,                 2.8331,             0.00091988,             0.00091988,             0.00091988
                      4,                 1.8876,                 3.3274,                 2.4109,                0.05613,                0.17983,                 0.0777,                0.02967,                 2.0222,                 3.3562,                 2.7006,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.8129,                  3.155,                 2.3176,                0.26838,                0.17056,                0.11218,                0.04952,                 1.9296,                 3.0527,                 2.5493,              0.0008812,              0.0008812,              0.0008812
                      6,                 1.7356,                 3.0346,                 2.2411,                0.29952,                0.24919,                0.16396,                0.07385,                 1.8221,                 2.9018,                 2.4712,              0.0008416,              0.0008416,              0.0008416
                      7,                 1.6903,                 2.9604,                 2.1996,                0.18369,                 0.1948,                0.16288,                0.07658,                 1.8056,                 2.9353,                 2.4534,               0.000802,               0.000802,               0.000802
                      8,                 1.6642,                 2.8954,                  2.171,                0.19342,                0.25067,                  0.164,                0.08372,                 1.7594,                 2.8365,                 2.3895,              0.0007624,              0.0007624,              0.0007624
                      9,                 1.6187,                 2.8197,                 2.1252,                 0.1824,                0.28279,                0.18048,                0.09143,                 1.7411,                 2.9933,                 2.3305,              0.0007228,              0.0007228,              0.0007228
                     10,                 1.5919,                  2.757,                 2.0874,                0.25111,                0.35245,                0.25025,                0.13233,                 1.7082,                 2.5856,                 2.3083,              0.0006832,              0.0006832,              0.0006832
                     11,                 1.5793,                 2.7025,                 2.0735,                0.28943,                0.35257,                0.26887,                0.14789,                 1.6913,                 2.5898,                 2.2806,              0.0006436,              0.0006436,              0.0006436
                     12,                 1.5538,                 2.6486,                 2.0527,                0.21776,                 0.3201,                 0.2491,                0.13432,                 1.6696,                 2.5684,                  2.282,               0.000604,               0.000604,               0.000604
                     13,                 1.5164,                 2.5992,                 2.0205,                0.36388,                0.30983,                0.28321,                0.15723,                 1.6285,                 2.3775,                 2.2153,              0.0005644,              0.0005644,              0.0005644
                     14,                 1.4914,                 2.5358,                 1.9949,                 0.2982,                0.35154,                0.31851,                0.18146,                 1.6093,                 2.3511,                 2.1815,              0.0005248,              0.0005248,              0.0005248
                     15,                 1.4815,                 2.4876,                 1.9877,                0.34879,                 0.3712,                0.33385,                0.18409,                 1.5771,                 2.2682,                 2.1665,              0.0004852,              0.0004852,              0.0004852
                     16,                 1.4844,                  2.321,                 2.0558,                0.37131,                0.36502,                0.33923,                0.19976,                 1.5324,                  2.189,                 2.1013,              0.0004456,              0.0004456,              0.0004456
                     17,                 1.4524,                 2.2071,                 2.0276,                0.41658,                0.43136,                0.38744,                0.22417,                 1.5069,                 2.0987,                 2.0754,               0.000406,               0.000406,               0.000406
                     18,                 1.4211,                 2.1505,                  1.991,                0.42938,                0.44392,                0.41008,                0.24722,                  1.463,                 2.0558,                 2.0277,              0.0003664,              0.0003664,              0.0003664
                     19,                 1.4053,                 2.0935,                 1.9754,                0.45813,                0.44707,                0.41753,                0.24982,                 1.4545,                 2.0951,                 2.0186,              0.0003268,              0.0003268,              0.0003268
                     20,                  1.378,                 2.0269,                 1.9526,                0.49172,                0.44885,                0.42533,                0.25593,                 1.4325,                 1.9866,                 1.9988,              0.0002872,              0.0002872,              0.0002872
                     21,                 1.3517,                  1.972,                 1.9253,                0.49552,                0.47427,                0.47053,                0.28807,                 1.4277,                 1.8858,                 1.9954,              0.0002476,              0.0002476,              0.0002476
                     22,                  1.339,                 1.9399,                 1.9073,                 0.4617,                0.48571,                0.46054,                0.28039,                 1.4353,                 1.8729,                 1.9894,               0.000208,               0.000208,               0.000208
                     23,                 1.3383,                  1.913,                 1.8989,                0.49657,                0.47508,                 0.4718,                0.28901,                 1.4239,                 1.8549,                 1.9659,              0.0001684,              0.0001684,              0.0001684
                     24,                 1.3029,                 1.8615,                 1.8659,                0.52194,                0.49149,                0.49891,                0.30101,                 1.3973,                 1.7982,                 1.9567,              0.0001288,              0.0001288,              0.0001288
                     25,                 1.2919,                 1.8271,                 1.8648,                0.56137,                0.48567,                0.49992,                  0.316,                 1.3776,                 1.7687,                 1.9267,               8.92e-05,               8.92e-05,               8.92e-05
