                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2906,                 3.5494,                 4.2848,                0.00514,                0.46541,                0.00827,                 0.0027,                  2.808,                 3.5888,                 4.1587,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.2829,                 3.5815,                 4.2168,                0.00514,                0.46541,                0.01029,                0.00349,                 2.8074,                 3.5887,                 4.1582,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 3.4168,                  3.608,                 4.2362,                0.00514,                0.46541,                0.02588,                0.00644,                 2.8064,                 3.5889,                 4.1574,             0.00015366,             0.00015366,             0.00015366
                      4,                 3.2907,                 3.4971,                 4.2127,                0.00514,                0.46541,                0.01898,                0.00536,                 2.8053,                 3.5886,                 4.1562,             0.00020693,             0.00020693,             0.00020693
                      5,                 3.3888,                 3.4235,                 4.1878,                0.00528,                0.47799,                0.02038,                0.00635,                 2.8043,                 3.5883,                 4.1544,             0.00025782,             0.00025782,             0.00025782
                      6,                 3.5235,                 3.4492,                  4.184,                0.00514,                0.46541,                0.01661,                0.00505,                 2.8037,                  3.588,                 4.1529,             0.00030634,             0.00030634,             0.00030634
                      7,                 3.3486,                 3.4027,                 4.1489,                0.00528,                0.47799,                0.02872,                0.00711,                 2.8018,                  3.588,                 4.1499,             0.00035248,             0.00035248,             0.00035248
                      8,                 3.2286,                 3.3014,                 4.1433,                0.00521,                 0.4717,                0.02564,                0.00727,                 2.8014,                 3.5877,                 4.1482,             0.00039624,             0.00039624,             0.00039624
                      9,                 3.2053,                 3.2733,                 4.1294,                0.00528,                0.47799,                 0.0346,                 0.0123,                 2.8012,                 3.5884,                 4.1439,             0.00043763,             0.00043763,             0.00043763
                     10,                 3.1909,                  3.219,                 4.0975,                0.00521,                 0.4717,                0.03989,                0.01345,                 2.8015,                  3.588,                 4.1412,             0.00047664,             0.00047664,             0.00047664
                     11,                  3.305,                 3.2143,                 4.0818,                0.00528,                0.47799,                0.06972,                0.02745,                 2.8019,                 3.5879,                 4.1358,             0.00051328,             0.00051328,             0.00051328
                     12,                 3.3205,                 3.0643,                 4.0423,                0.00514,                0.46541,                0.07373,                0.03483,                 2.8015,                 3.5878,                 4.1324,             0.00054754,             0.00054754,             0.00054754
                     13,                 3.2604,                 3.3927,                 4.0542,                0.00514,                0.46541,                0.06843,                 0.0281,                 2.7983,                  3.587,                 4.1218,             0.00057942,             0.00057942,             0.00057942
                     14,                 3.2675,                 3.1688,                 4.0139,                0.00542,                0.49057,                0.05421,                0.02032,                 2.7965,                 3.5854,                 4.1135,             0.00060893,             0.00060893,             0.00060893
                     15,                 3.2781,                 3.2125,                 3.9725,                0.00528,                0.47799,                0.01277,                0.00413,                 2.7976,                 3.5832,                 4.1079,             0.00063606,             0.00063606,             0.00063606
                     16,                 3.1365,                 3.1044,                 3.9224,                0.00521,                 0.4717,                0.01309,                0.00411,                 2.7991,                 3.5848,                  4.108,             0.00066082,             0.00066082,             0.00066082
                     17,                 3.2199,                 3.0385,                 3.8852,                0.00521,                 0.4717,                   0.01,                0.00317,                 2.8002,                 3.5808,                 4.1122,              0.0006832,              0.0006832,              0.0006832
                     18,                 3.1166,                 3.0785,                 3.8456,                0.00507,                0.45912,                0.01141,                0.00364,                 2.7959,                 3.5807,                 4.1136,              0.0007032,              0.0007032,              0.0007032
