                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1205,                 4.7499,                 3.9226,                0.71684,                 0.0073,                0.00383,                0.00109,                 2.0063,                 127.33,                 2.5701,             0.00030233,             0.00030233,             0.00030233
                      2,                 2.4572,                 4.2566,                 3.0174,                0.15861,                0.13806,                0.01062,                0.00329,                 1.7068,                 47.444,                 2.2373,             0.00059535,             0.00059535,             0.00059535
                      3,                 2.0802,                 3.7972,                 2.5789,                0.47163,                0.01608,                0.02646,                0.00915,                 1.6007,                 40.545,                 2.0616,             0.00087836,             0.00087836,             0.00087836
                      4,                  1.951,                 3.5417,                 2.4142,                 0.0858,                0.05654,                0.04464,                0.01739,                 1.5108,                  35.74,                 1.9307,               0.000864,               0.000864,               0.000864
                      5,                 1.8634,                 3.4006,                 2.3258,                0.08392,                 0.0862,                0.05417,                0.02163,                  1.466,                 34.791,                 1.8896,               0.000864,               0.000864,               0.000864
                      6,                 1.8158,                 3.2789,                 2.2633,                0.10078,                0.13443,                0.06377,                0.02673,                 1.4188,                 41.643,                 1.8382,             0.00084901,             0.00084901,             0.00084901
                      7,                 1.7485,                 3.1802,                 2.1971,                0.28138,                0.16834,                0.08417,                0.03819,                 1.3668,                 32.562,                 1.7637,             0.00083401,             0.00083401,             0.00083401
                      8,                 1.7308,                 3.1184,                 2.1734,                0.41967,                0.17684,                0.09868,                0.04559,                  1.335,                 41.484,                 1.7334,             0.00081901,             0.00081901,             0.00081901
                      9,                 1.7126,                 3.0742,                 2.1434,                0.42688,                 0.1671,                 0.1031,                0.04542,                 1.3462,                  44.76,                 1.7215,             0.00080401,             0.00080401,             0.00080401
                     10,                 1.6631,                 3.0156,                 2.1162,                0.28045,                0.22759,                0.11904,                0.05794,                  1.288,                  31.51,                 1.6662,             0.00078901,             0.00078901,             0.00078901
