                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0318,                 1.1754,                 1.4405,                0.66258,                 0.6439,                0.63933,                0.37501,                 1.3254,                 1.3484,                 1.7788,              0.0006932,              0.0006932,              0.0006932
                     36,                  1.063,                 1.2141,                 1.4648,                0.69342,                0.57374,                0.64495,                0.37785,                 1.3799,                 1.3844,                 1.7979,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0261,                 1.1623,                 1.4502,                0.68624,                    0.6,                0.62662,                0.36864,                 1.3475,                 1.3072,                 1.8046,               0.000614,               0.000614,               0.000614
                     38,                0.95532,                 1.1135,                 1.3909,                0.64192,                0.64711,                0.66035,                0.38382,                 1.3653,                 1.3225,                 1.8482,              0.0005744,              0.0005744,              0.0005744
                     39,                0.96116,                 1.1099,                 1.3695,                 0.7203,                0.66829,                0.68155,                0.41509,                 1.3107,                 1.2441,                 1.7528,              0.0005348,              0.0005348,              0.0005348
                     40,                0.96802,                 1.0822,                 1.4135,                0.72497,                0.60976,                0.66768,                0.40521,                 1.3359,                 1.3293,                 1.7961,              0.0004952,              0.0004952,              0.0004952
                     41,                0.92086,                 1.0148,                  1.415,                0.72543,                0.61463,                0.66065,                0.38436,                 1.3391,                 1.3415,                 1.8117,              0.0004556,              0.0004556,              0.0004556
                     42,                0.87345,                0.91181,                 1.3832,                0.72254,                0.67328,                0.69411,                0.42079,                 1.2905,                 1.2588,                 1.7738,               0.000416,               0.000416,               0.000416
                     43,                0.86915,                0.87176,                 1.3624,                0.71861,                0.67317,                0.69497,                0.42975,                 1.2936,                 1.2072,                 1.7302,              0.0003764,              0.0003764,              0.0003764
                     44,                0.86593,                0.85345,                 1.3928,                0.71708,                0.65528,                0.70048,                0.43827,                  1.295,                 1.1832,                 1.7324,              0.0003368,              0.0003368,              0.0003368
                     45,                0.85565,                0.82125,                 1.3438,                0.73245,                 0.6439,                0.68841,                0.42257,                  1.319,                 1.1939,                 1.7628,              0.0002972,              0.0002972,              0.0002972
                     46,                0.81472,                0.78762,                 1.3132,                0.70903,                0.69268,                0.68996,                0.42656,                 1.2795,                 1.2021,                 1.7254,              0.0002576,              0.0002576,              0.0002576
                     47,                0.79914,                0.76144,                 1.3079,                0.72224,                0.65366,                0.67113,                0.41187,                 1.3185,                 1.2145,                 1.7651,               0.000218,               0.000218,               0.000218
                     48,                0.79063,                0.76166,                  1.295,                0.75226,                0.62439,                0.67447,                0.41828,                 1.2811,                 1.2115,                 1.7299,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.7798,                  0.758,                 1.2987,                0.74606,                0.65924,                0.69535,                0.43366,                 1.2598,                 1.1563,                 1.7124,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.7184,                0.69034,                 1.2391,                0.76354,                0.66158,                0.70401,                0.43917,                 1.2781,                 1.1846,                 1.7274,               9.92e-05,               9.92e-05,               9.92e-05
