                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92521,                0.93536,                 1.2808,                0.76626,                 0.6779,                0.73866,                0.52073,                 1.1222,                 1.0322,                 1.4397,             0.00024747,             0.00024747,             0.00024747
                     36,                0.93135,                0.92664,                 1.2756,                0.79611,                0.65233,                0.73534,                0.52112,                 1.1175,                  1.032,                 1.4437,             0.00023334,             0.00023334,             0.00023334
                     37,                0.90953,                0.90651,                 1.2614,                 0.7519,                0.70105,                0.74134,                0.52764,                 1.1122,                  1.033,                 1.4382,              0.0002192,              0.0002192,              0.0002192
                     38,                0.90735,                0.88968,                 1.2605,                0.79853,                0.67925,                0.74284,                0.52852,                 1.1125,                 1.0191,                 1.4395,             0.00020506,             0.00020506,             0.00020506
                     39,                0.88939,                0.87178,                 1.2556,                0.75194,                0.71021,                0.74888,                0.53287,                 1.1082,                 1.0146,                 1.4418,             0.00019092,             0.00019092,             0.00019092
                     40,                0.88056,                0.85608,                 1.2403,                0.74199,                0.71755,                0.75879,                0.53964,                 1.1029,                0.99152,                 1.4271,             0.00017679,             0.00017679,             0.00017679
                     41,                0.83712,                0.67134,                 1.2323,                 0.8186,                0.69034,                0.76018,                0.53931,                 1.1058,                0.98307,                 1.4332,             0.00016265,             0.00016265,             0.00016265
                     42,                0.81368,                0.63155,                  1.211,                0.81873,                0.66174,                0.74269,                0.53078,                 1.0942,                 1.0071,                 1.4305,             0.00014851,             0.00014851,             0.00014851
                     43,                0.80019,                0.60978,                 1.2081,                 0.7872,                0.69035,                0.75442,                0.53957,                  1.092,                0.99061,                 1.4269,             0.00013437,             0.00013437,             0.00013437
                     44,                0.78837,                0.59538,                 1.1927,                0.80917,                0.66039,                0.74983,                 0.5409,                 1.0965,                 1.0055,                 1.4337,             0.00012024,             0.00012024,             0.00012024
                     45,                0.78119,                0.57586,                 1.1909,                0.79459,                0.68033,                0.75817,                0.54526,                 1.0929,                0.99487,                 1.4238,              0.0001061,              0.0001061,              0.0001061
                     46,                0.76343,                0.55967,                 1.1714,                0.76205,                0.68251,                0.75007,                0.53948,                 1.0905,                 1.0002,                 1.4246,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.75591,                0.55325,                 1.1686,                0.79645,                  0.672,                0.75382,                0.54887,                 1.0812,                0.99914,                 1.4175,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.74758,                 0.5389,                 1.1593,                0.82089,                0.64858,                0.75221,                0.54695,                 1.0882,                 1.0029,                 1.4216,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.74138,                0.53313,                 1.1513,                0.76757,                0.68953,                0.75404,                0.54325,                 1.0913,                0.99761,                 1.4299,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.73348,                0.50894,                 1.1463,                 0.7929,                0.67948,                0.75097,                0.54212,                 1.0933,                0.99857,                  1.434,             3.5414e-05,             3.5414e-05,             3.5414e-05
