                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2303,                 3.5809,                 4.1764,                0.00381,                0.47285,                 0.0086,                  0.003,                 2.8818,                 3.6841,                 4.1205,             0.00065152,             0.00065152,             0.00065152
                      2,                 3.1931,                 3.4174,                 3.8632,                0.00842,                0.33484,                0.01418,                0.00378,                 2.9118,                 3.6514,                 4.1302,              0.0013051,              0.0013051,              0.0013051
                      3,                 3.0246,                 3.3923,                  3.586,                0.00994,                 0.3733,                0.00886,                0.00271,                 2.7772,                 16.251,                 3.9942,              0.0019455,              0.0019455,              0.0019455
                      4,                 2.8964,                 3.3158,                 3.3872,                 0.0205,                 0.1629,                 0.0109,                0.00349,                 2.7874,                 25.829,                  3.713,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.7241,                 3.1859,                 3.2025,                0.03983,                0.09729,                0.01679,                0.00484,                 2.7885,                 29.509,                  3.596,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.6736,                 3.1229,                 3.1104,                0.08779,                0.13575,                0.03695,                0.01095,                 2.6256,                 11.647,                 3.4659,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.5661,                 3.0586,                  3.018,                0.11384,                0.13575,                0.06406,                0.01937,                  2.494,                  3.858,                 3.1513,               0.001901,               0.001901,               0.001901
                      8,                 2.4755,                 2.9638,                 2.9406,                0.09343,                0.17421,                0.05919,                0.01655,                 2.5333,                  4.493,                 3.2038,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.4223,                 2.9039,                 2.9016,                0.10981,                0.20362,                0.06476,                0.02202,                 2.4168,                 3.2936,                 3.0121,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.3664,                 2.8503,                 2.8348,                0.34209,                0.14352,                0.14078,                0.04589,                 2.4343,                 3.0386,                 3.0307,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.2741,                 2.7095,                 2.7553,                0.31783,                0.25113,                0.20047,                0.07399,                 2.3336,                 2.9622,                 2.9795,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2634,                 2.7023,                 2.7067,                0.23228,                0.18778,                0.13513,                0.04751,                 2.2929,                 3.2041,                 2.9483,               0.001802,               0.001802,               0.001802
                     13,                 2.2098,                  2.635,                 2.6493,                0.32128,                0.27376,                0.21831,                0.09006,                 2.2627,                  2.831,                 2.8195,              0.0017822,              0.0017822,              0.0017822
                     14,                  2.125,                 2.5463,                 2.5871,                0.30206,                0.23793,                0.19154,                0.07617,                  2.249,                 2.8414,                 2.8876,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.1496,                 2.5186,                 2.5934,                0.25641,                0.31222,                0.22342,                0.08989,                 2.2132,                 3.0651,                 2.8047,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0938,                 2.4927,                 2.5417,                0.23245,                0.36878,                0.18015,                 0.0737,                 2.1789,                 3.0798,                 2.7965,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0623,                 2.4461,                 2.4863,                0.37358,                0.30317,                 0.2665,                0.10662,                 2.1458,                 2.7468,                 2.7656,               0.001703,               0.001703,               0.001703
                     18,                 2.0169,                 2.3574,                 2.4584,                0.43727,                0.33032,                0.31944,                 0.1337,                 2.0995,                  2.973,                 2.7337,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.9776,                 2.3221,                  2.428,                0.38213,                0.34163,                0.31889,                0.13686,                 2.0321,                 2.3875,                 2.6294,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.9372,                 2.2723,                 2.3865,                0.42451,                 0.3552,                0.32563,                 0.1493,                 2.0097,                 2.4706,                 2.5898,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.9245,                 2.2456,                 2.3998,                0.39046,                0.31222,                0.29959,                0.12111,                 2.1021,                 2.5003,                 2.6661,              0.0016238,              0.0016238,              0.0016238
