                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.125,                 4.4054,                 3.9575,                0.00312,                0.52276,                0.00562,                0.00162,                  2.815,                 4.2269,                 3.7292,             0.00033234,             0.00033234,             0.00033234
                      2,                 2.4201,                 4.0305,                  3.009,                0.35305,                 0.0202,                0.01513,                0.00567,                 2.2367,                 4.0479,                  2.969,             0.00065249,             0.00065249,             0.00065249
                      3,                 2.0241,                 3.5702,                 2.5574,                 0.2454,                0.05424,                0.03056,                0.01165,                 2.0701,                 3.5583,                 2.8125,             0.00095944,             0.00095944,             0.00095944
                      4,                 1.8858,                  3.345,                 2.4141,                0.24981,                 0.1744,                0.06995,                0.03009,                 1.9853,                 3.4114,                 2.6862,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.8081,                 3.1617,                 2.3167,                0.36429,                0.15996,                0.12592,                0.05344,                 1.9712,                 3.0467,                 2.6171,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.7402,                 3.0391,                 2.2417,                 0.2423,                0.25778,                0.16458,                0.07395,                 1.8565,                  2.979,                 2.5065,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.6907,                 2.9681,                  2.189,                0.21946,                0.25507,                0.15994,                0.07881,                 1.7944,                 2.8679,                 2.4354,               0.000901,               0.000901,               0.000901
                      8,                 1.6675,                 2.8994,                 2.1658,                0.19626,                0.23938,                0.15938,                0.07439,                 1.8059,                 2.8663,                 2.4079,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.6286,                 2.8173,                 2.1255,                0.15154,                0.23886,                0.15207,                0.07209,                 1.7478,                 2.8849,                 2.3599,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.6042,                 2.7512,                 2.0899,                0.22832,                  0.303,                0.21617,                  0.118,                 1.6906,                 2.6339,                 2.2822,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.5854,                 2.7154,                 2.0775,                0.23615,                0.31306,                0.26856,                0.14307,                 1.6775,                  2.567,                 2.2598,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.5613,                 2.6712,                 2.0526,                0.24395,                0.30512,                0.24357,                0.12947,                 1.7044,                 2.7112,                 2.3021,               0.000802,               0.000802,               0.000802
                     13,                 1.5243,                  2.621,                 2.0231,                 0.3038,                0.31733,                0.26637,                0.14863,                  1.639,                 2.4205,                 2.2015,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.5008,                 2.5607,                  2.003,                0.24785,                0.37663,                0.32707,                0.17534,                 1.6304,                 2.4489,                 2.2072,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.4918,                 2.5051,                 1.9951,                0.35293,                0.36413,                0.33754,                0.19392,                  1.543,                 2.2793,                 2.1302,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.4813,                 2.4945,                 1.9846,                0.39985,                 0.3323,                0.30851,                0.17694,                 1.5868,                 2.3437,                 2.1485,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.4595,                 2.4639,                 1.9669,                0.39897,                0.39714,                0.35506,                0.19915,                  1.602,                  2.199,                 2.1787,               0.000703,               0.000703,               0.000703
                     18,                 1.4531,                 2.4054,                 1.9426,                0.33611,                0.39701,                0.35106,                0.20014,                 1.5243,                 2.1974,                 2.0876,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.4347,                 2.3733,                 1.9287,                0.39217,                0.41767,                0.37097,                0.22005,                 1.5211,                 2.1969,                 2.0632,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.4332,                 2.3308,                 1.9272,                0.46039,                0.42543,                0.40018,                  0.236,                 1.5452,                 2.1345,                 2.0914,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.4238,                 2.3171,                  1.915,                0.43228,                  0.407,                0.38083,                0.22136,                 1.5305,                  2.068,                  2.088,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.4117,                 2.3066,                 1.9109,                0.41438,                0.44684,                0.43213,                0.25274,                 1.4915,                 1.9615,                 2.0352,               0.000604,               0.000604,               0.000604
                     23,                 1.3965,                 2.2537,                 1.8955,                0.48811,                0.40715,                0.41958,                0.25207,                 1.4816,                 1.9867,                  2.016,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.3948,                 2.2386,                 1.8861,                0.40964,                0.44606,                0.43784,                0.26174,                 1.4539,                 1.9847,                  1.989,              0.0005644,              0.0005644,              0.0005644
